Exercise Name,Image URL,Muscle Group,Exercise Type
Squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg,Legs,Strength
Bench Press,,Chest,Strength
Deadlift,,Back,Strength
Treadmill,,Cardio,Cardio
Rowing Machine,,Cardio,Cardio
Cycling,,Cardio,Cardio
Pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg,Back,Strength
Push-up,,Chest,Strength
Leg Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m1-square-600x600.jpg,Legs,Strength
Shoulder Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Strength
Bicep Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg,Biceps,Strength
Tricep Extension,,Triceps,Strength
Plank,,Core,Strength
Lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m1-square-600x600.jpg,Legs,Strength
Crunches,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,Core,Strength
Lat Pull-down,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72c-lat-pull-down-m1-square-600x600.jpg,Back,Strength
Dumbbell Row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m1-square-600x600.jpg,Back,Strength
Leg Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m1-square-600x600.jpg,Legs,Strength
Leg Extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18m-leg-extension-m1-square-600x600.jpg,Legs,Strength
Dips,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,Triceps,Strength
Face Pull,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-40c-standing-face-pull-m1-square-600x600.jpg,Shoulders,Strength
Romanian Deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m1-square-600x600.jpg,Legs,Strength
Calf Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg,Legs,Strength
Hammer Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg,Biceps,Strength
Chest Fly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31e-dumbbell-chest-fly-m1-square-600x600.jpg,Chest,Strength
Lateral Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-77d-dumbbell-lateral-raise-m1-square-600x600.jpg,Shoulders,Strength
Front Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m2-square-600x600.jpg,Shoulders,Strength
Shrugs,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-04b-barbell-shrug-m1-square-600x600.jpg,Shoulders,Strength
Incline Bench Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m1-square-600x600.jpg,Chest,Strength
Tricep Pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg,Triceps,Strength
Barbell Row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m1-square-600x600.jpg,Back,Strength
Overhead Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Strength
Hip Thrust,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg,Legs,Strength
Leg Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,Core,Strength
Russian Twist,,Core,Strength
Seated Row,,Back,Strength
Elliptical,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m1-square-600x600.jpg,Cardio,Cardio
Jump Rope,,Cardio,Cardio
Stair Climber,,Cardio,Cardio
Mountain Climbers,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-201a-mountain-climber-m1-square-600x600.jpg,Core,Strength
Burpees,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-38a-burpee-m4-square-600x600.jpg,Full Body,Cardio
Kettlebell Swing,,Full Body,Strength
Box Jump,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75e-box-jump-m1-square-600x600.jpg,Legs,Strength
Farmer's Walk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg,Full Body,Strength
Clean and Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m1-square-600x600.jpg,Full Body,Strength
Back Extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m1-square-600x600.jpg,Back,Strength
Ab Rollout,,Core,Strength
Glute Bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59a-glute-bridge-m1-square-600x600.jpg,Legs,Strength
T-Bar Row,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/m/1931_1.jpg,Back,Strength
Upright Row,,Shoulders,Strength
Good Morning,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-09b-barbell-good-morning-m1-square-600x600.jpg,Back,Strength
Hack Squat,,Legs,Strength
Bulgarian Split Squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61e-dumbbell-bulgarian-split-squat-m1-square-600x600.jpg,Legs,Strength
Reverse Crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m1-600x600.jpg,Core,Strength
Cable Crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg,Core,Strength
Decline Bench Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg,Chest,Strength
Goblet Squat,,Legs,Strength
Step-Up,,Legs,Strength
Cable Flyes,,Chest,Strength
Preacher Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m1-square-600x600.jpg,Biceps,Strength
Skull Crushers,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m1-square-600x600.jpg,Triceps,Strength
Reverse Fly,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-13n-incline-dumbbell-reverse-fly-m1-crop-600x600.jpg,Shoulders,Strength
Machine Shoulder Press,,Shoulders,Strength
Cable Bicep Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22c-cable-straight-bar-biceps-curl-m1-square-600x600.jpg,Biceps,Strength
Hanging Leg Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg,Core,Strength
Smith Machine Squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m1-square-600x600.jpg,Legs,Strength
Dumbbell Pullover,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26e-straight-arm-dumbbell-pull-over-m1-square-600x600.jpg,Chest,Strength
Wrist Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m1-square-600x600.jpg,Forearms,Strength
Superman,,Back,Strength
Wall Sit,,Legs,Strength
Box Squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,Legs,Strength
Decline Sit-Up,,Core,Strength
Donkey Kicks,,Legs,Strength
Bird Dog,,Core,Strength
Tricep Kickback,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76d-single-arm-triceps-kick-back-m2-square-600x600.jpg,Triceps,Strength
Sumo Deadlift,,Legs,Strength
Power Clean,,Full Body,Strength
Hang Clean,,Full Body,Strength
Push Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg,Shoulders,Strength
Handstand Push-Up,,Shoulders,Strength
Nordic Hamstring Curl,,Legs,Strength
Single-Leg Romanian Deadlift,,Legs,Strength
Pistol Squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_2.jpg,Legs,Strength
Sled Push,,Full Body,Strength
Medicine Ball Slams,,Full Body,Strength
Plyometric Push-Ups,,Chest,Strength
Broad Jumps,,Legs,Strength
Seated Calf Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m1-square-600x600.jpg,Legs,Strength
Standing Military Press,,Shoulders,Strength
Dumbbell Bench Press,,Chest,Strength
Incline Dumbbell Press,,Chest,Strength
Decline Push-Up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m1-square-600x600.jpg,Chest,Strength
Close-Grip Bench Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m1-square-600x600.jpg,Triceps,Strength
Inverted Row,,Back,Strength
Chin-Up,,Back,Strength
EZ Bar Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-46s-standing-ez-bar-curl-m1-crop-600x600.jpg,Biceps,Strength
Concentration Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8e-concentration-curl-m1-square-600x600.jpg,Biceps,Strength
Dumbbell Lunges,,Legs,Strength
Side Lunges,,Legs,Strength
Leg Press Calf Raise,,Legs,Strength
Seated Leg Press,,Legs,Strength
Hack Squat Machine,,Legs,Strength
Reverse Hyperextension,,Back,Strength
Cable Woodchopper,,Core,Strength
Pallof Press,,Core,Strength
Planks,,Core,Strength
Side Planks,,Core,Strength
Running,,Cardio,Cardio
Jogging,,Cardio,Cardio
Sprinting,,Cardio,Cardio
Walking,,Cardio,Cardio
Swimming,,Cardio,Cardio
Cycling (Outdoor),,Cardio,Cardio
Cycling (Stationary Bike),,Cardio,Cardio
Rowing,,Cardio,Cardio
Jumping Jacks,,Cardio,Cardio
High Knees,,Cardio,Cardio
Butt Kicks,,Cardio,Cardio
Skipping,,Cardio,Car